Tissue,Description,ZScore,MeanExp,Breadth,CV,NeighborMeanBreadth,NeighborMeanZscore,Label,Probability,,"Supplementary Table S2. Mouse knock out genes with phenotypes in 6 tissues. 191 genes whose germline deletion result in phenotypic aberration that could be unambiguously ascribed to one of the 6 tissues - Heart, Breast, Thyroid, Muscle, Lung, and Ovary. The tables shows a few key feature values for these genes and the overall score for tissue relevance as computed by FUGUE. ",,,,,,,,,,,,,,
Heart,SCN4B,-0.2071121,10.6346922,0.6562137,0.6980775,0.08130081,-0.2526861,P,0.42727768,,,,,,,,,,,,,,,,
Heart,MYOCD,-0.1228928,7.65107775,0.8989547,0.64316601,0.18800813,-0.6682508,U,0.4272289,,,,,,,,,,,,,,,,
Heart,ELN,-0.1980324,83.2187653,0.50754936,1.21984589,0.33203252,-0.2701725,U,0.42588478,,,,,,,,,,,,,,,,
Heart,PTGER4,-0.5742569,3.18134546,0.10452962,0.62950802,0.12800954,-0.7366682,U,0.40665665,,,,,,,,,,,,,,,,
Heart,FBN1,-0.1790067,21.2624111,0.51103368,0.99019909,0.41087108,-0.321387,U,0.39734837,,,,,,,,,,,,,,,,
Heart,MYL2,1.46557105,7770.16357,0.99535424,1.33639681,0.53581107,-0.2613938,P,0.38984469,,,,,,,,,,,,,,,,
Heart,DOT1L,-0.6223181,6.33850098,0.06852497,0.77488309,0.09679687,-0.7625423,N,0.3726874,,,,,,,,,,,,,,,,
Heart,PKD1,-0.3954223,21.8413677,0.09756098,0.41834107,0.20472091,-0.5132544,U,0.36992013,,,,,,,,,,,,,,,,
Heart,MED13L,-1.0937738,5.44322252,0.00116144,0.50866038,0.09535049,-0.815775,P,0.36810061,,,,,,,,,,,,,,,,
Heart,PPARGC1A,1.25475216,16.1324501,0.89779326,1.38591599,0.13492905,-0.7378524,U,0.35963398,,,,,,,,,,,,,,,,
Heart,SLC39A8,-0.1009965,8.56822109,0.46109175,1.76815152,0.10632017,-0.7490788,U,0.35458755,,,,,,,,,,,,,,,,
Heart,LMNA,-0.5932726,70.9225845,0.08826945,0.5651077,0.1278669,-0.713953,P,0.34155306,,,,,,,,,,,,,,,,
Heart,IFNG,-0.0850285,0.16728459,0.43205575,2.85165,0.15582656,-0.6052143,U,0.32815927,,,,,,,,,,,,,,,,
Heart,RBPJ,-1.171793,10.3009691,0.00813008,0.51585263,0.09446962,-0.7599924,U,0.31569397,,,,,,,,,,,,,,,,
Heart,CTSV,-0.3125621,0.04330844,0.01626016,1.07675779,0.18649914,-0.5042485,U,0.3042354,,,,,,,,,,,,,,,,
Heart,NTF3,-0.3591295,0.93803769,0.30429733,0.92614216,0.35203252,-0.3012097,U,0.29901806,,,,,,,,,,,,,,,,
Heart,HTR2B,-0.1046284,2.03792882,0.61904762,1.47881234,0.15015762,-0.6105664,N,0.29841784,,,,,,,,,,,,,,,,
Heart,VIP,-0.2496897,1.93325078,0.42276423,0.72411865,0.21335656,-0.4705513,U,0.29750174,,,,,,,,,,,,,,,,
Heart,PFKFB3,-0.490582,11.8216124,0.03600465,1.06912887,0.14759969,-0.6015435,U,0.28293526,,,,,,,,,,,,,,,,
Heart,MTPN,-0.8856438,34.669323,0.06852497,0.56149983,0.06333404,-0.8493968,N,0.271402,,,,,,,,,,,,,,,,
Heart,KCNE3,-0.3344065,1.57281971,0.27526132,0.90575749,0.11591173,-0.6625068,P,0.2533569,,,,,,,,,,,,,,,,
Heart,DNAH5,-0.3091197,0.0259268,0.01277584,1.18807507,0.19925152,-0.5584205,U,0.25321475,,,,,,,,,,,,,,,,
Heart,HCN1,-0.0763868,0.65599591,0.52961672,1.44607973,0.49961285,-0.0490391,N,0.24388477,,,,,,,,,,,,,,,,
Heart,SCN2B,-0.1782147,3.37225747,0.89082462,0.90441447,0.09716403,-0.7868471,P,0.23654373,,,,,,,,,,,,,,,,
Heart,KCNJ2,0.07625308,3.90183711,0.6155633,0.96196634,0.56163929,-0.1244732,P,0.22823958,,,,,,,,,,,,,,,,
Heart,DSC2,-0.1851597,2.51036334,0.79442509,0.66069627,0.37417731,-0.3192365,P,0.22301055,,,,,,,,,,,,,,,,
Heart,MYLK2,-0.1745181,0.41174299,0.36585366,1.23265147,0.095158,-0.7232945,U,0.17860661,,,,,,,,,,,,,,,,
Heart,DNAH11,-0.2117852,0.29135174,0.40418118,1.48185527,0.30429733,-0.462958,U,0.1702565,,,,,,,,,,,,,,,,
Heart,FGF8,-0.3845628,0.03841418,0.16840883,1.81757939,0.05221015,-0.9070585,U,0.162287,,,,,,,,,,,,,,,,
Heart,TNFSF4,-0.3573739,0.69545615,0.19976771,0.8116796,0.03716609,-0.9826665,U,0.16068839,,,,,,,,,,,,,,,,
Heart,KCNE1,-0.1614222,0.45232609,0.78164925,1.10773361,0.33384953,-0.334451,P,0.14207104,,,,,,,,,,,,,,,,
Heart,CENPF,-0.2645207,0.17731088,0.09175377,2.474792,0.14734542,-0.6222849,N,0.11379366,,,,,,,,,,,,,,,,
Heart,SCN3B,-0.3799611,0.73615116,0.04181185,0.7545895,0.08618249,-0.7720153,P,0.11131055,,,,,,,,,,,,,,,,
Heart,KCNE2,-0.1298692,0.25680599,0.07084785,1.264871,0.68292683,0.23839768,U,0.06715689,,,,,,,,,,,,,,,,
Heart,SLC6A2,-0.3063954,0.00948149,0.04645761,2.19777274,0.0232288,-0.6022405,N,0.05870447,,,,,,,,,,,,,,,,
Heart,EGFR,-0.8410111,4.49185467,0.00348432,0.57775152,0.15654241,-0.6274435,N,0.05594971,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
