Tissue,Transcription Factor,FUGUE Score,,,,,,,
Salivary_Gland,NKX2-3,0.915475965,,,,,,,
Salivary_Gland,ELK4,0.914998055,,,,,,,
Salivary_Gland,SOX4,0.913655877,,,,,,,
Salivary_Gland,ETV6,0.909794569,,,,,,,
Salivary_Gland,RUNX1,0.909631491,,,,,,,
Salivary_Gland,TRPS1,0.907644331,,,,,,,
Salivary_Gland,ZKSCAN1,0.907202542,,,,,,,
Salivary_Gland,ESRRA,0.906223357,,,,,,,
Salivary_Gland,SRCAP,0.903467298,,,,,,,
Skin,RARG,0.977259636,,,,,,,
Skin,MYC,0.962017715,,,,,,,
Skin,HOXC11,0.940523148,,,,,,,
Skin,SMAD3,0.936996281,,,,,,,
Skin,LIN54,0.935679674,,,,,,,
Skin,PA2G4,0.930116594,,,,,,,
Skin,TWIST1,0.927716076,,,,,,,
Skin,ETV3,0.921831667,,,,,,,
Skin,ARNT,0.921551645,,,,,,,
Skin,NFKB1,0.921510816,,,,,,,
Skin,SIM1,0.918860555,,,,,,,
Skin,HMGA2,0.91828078,,,,,,,
Skin,ZNF181,0.916069329,,,,,,,
Skin,NME2,0.910810769,,,,,,,
Skin,TCF4,0.910464346,,,,,,,
Skin,SP1,0.910010338,,,,,,,
Skin,TFAP2C,0.909633279,,,,,,,
Skin,TERF2,0.908776045,,,,,,,
Skin,RORA,0.904947996,,,,,,,
Skin,ATF1,0.903022826,,,,,,,
Skin,RELA,0.902859628,,,,,,,
Small_Intestine,HOXA9,0.952259719,,,,,,,
Small_Intestine,IKZF3,0.949642777,,,,,,,
Small_Intestine,FOXP3,0.94736743,,,,,,,
Small_Intestine,BACH2,0.946355283,,,,,,,
Small_Intestine,TFEC,0.944176614,,,,,,,
Small_Intestine,MBNL2,0.940759122,,,,,,,
Small_Intestine,SP140,0.93862623,,,,,,,
Small_Intestine,STAT5B,0.93567425,,,,,,,
Small_Intestine,ZNF589,0.935489774,,,,,,,
Small_Intestine,POU2F2,0.935392976,,,,,,,
Small_Intestine,SP100,0.931510806,,,,,,,
Small_Intestine,USF1,0.929120183,,,,,,,
Small_Intestine,IRF1,0.928545356,,,,,,,
Small_Intestine,NFATC2,0.928094685,,,,,,,
Small_Intestine,STAT2,0.927961648,,,,,,,
Small_Intestine,IRF8,0.927521348,,,,,,,
Small_Intestine,SP140L,0.92607832,,,,,,,
Small_Intestine,ZBTB14,0.925782502,,,,,,,
Small_Intestine,VDR,0.922988653,,,,,,,
Small_Intestine,HINFP,0.922320783,,,,,,,
Small_Intestine,ZNF740,0.921990275,,,,,,,
Spleen,STAT2,0.991261065,,,,,,,
Spleen,IRF8,0.986605704,,,,,,,
Spleen,IRF3,0.983952701,,,,,,,
Spleen,MAFB,0.981168747,,,,,,,
Spleen,ETS1,0.97676599,,,,,,,
Spleen,IKZF3,0.976336062,,,,,,,
Spleen,IRF9,0.974727809,,,,,,,
Spleen,PROX1,0.971340477,,,,,,,
Spleen,SP100,0.970744133,,,,,,,
Spleen,NFKB2,0.969368517,,,,,,,
Spleen,STAT5B,0.962189317,,,,,,,
Spleen,IKZF1,0.958989263,,,,,,,
Spleen,STAT3,0.957758784,,,,,,,
Spleen,STAT5A,0.955853462,,,,,,,
Spleen,BCL11A,0.955645978,,,,,,,
Spleen,RELA,0.953993201,,,,,,,
Spleen,IRF5,0.951290846,,,,,,,
Spleen,PBX2,0.950662732,,,,,,,
Spleen,NR5A1,0.948845804,,,,,,,
Spleen,USF1,0.944618464,,,,,,,
Spleen,ZBTB17,0.944306493,,,,,,,
Stomach,CDC5L,0.983261526,,,,,,,
Stomach,TERF2,0.981627047,,,,,,,
